source_key	target_key	equal
model.6.blocks.1.branch2b.conv.weight	model.6.blocks.1.branch2b.conv.weight	True
model.6.blocks.1.branch2b.norm.weight	model.6.blocks.1.branch2b.norm.weight	True
model.6.blocks.1.branch2b.norm.bias	model.6.blocks.1.branch2b.norm.bias	True
model.6.blocks.1.branch2b.norm.running_mean	model.6.blocks.1.branch2b.norm.running_mean	True
model.6.blocks.1.branch2b.norm.running_var	model.6.blocks.1.branch2b.norm.running_var	True
model.6.blocks.1.branch2b.norm.num_batches_tracked	model.6.blocks.1.branch2b.norm.num_batches_tracked	True
model.7.blocks.0.short.conv.conv.weight	model.7.blocks.0.short.conv.conv.weight	True
model.7.blocks.0.short.conv.norm.weight	model.7.blocks.0.short.conv.norm.weight	True
model.7.blocks.0.short.conv.norm.bias	model.7.blocks.0.short.conv.norm.bias	True
model.7.blocks.0.short.conv.norm.running_mean	model.7.blocks.0.short.conv.norm.running_mean	True
model.7.blocks.0.short.conv.norm.running_var	model.7.blocks.0.short.conv.norm.running_var	True
model.7.blocks.0.short.conv.norm.num_batches_tracked	model.7.blocks.0.short.conv.norm.num_batches_tracked	True
model.7.blocks.0.branch2a.conv.weight	model.7.blocks.0.branch2a.conv.weight	True
model.7.blocks.0.branch2a.norm.weight	model.7.blocks.0.branch2a.norm.weight	True
model.7.blocks.0.branch2a.norm.bias	model.7.blocks.0.branch2a.norm.bias	True
model.7.blocks.0.branch2a.norm.running_mean	model.7.blocks.0.branch2a.norm.running_mean	True
model.7.blocks.0.branch2a.norm.running_var	model.7.blocks.0.branch2a.norm.running_var	True
model.7.blocks.0.branch2a.norm.num_batches_tracked	model.7.blocks.0.branch2a.norm.num_batches_tracked	True
model.7.blocks.0.branch2b.conv.weight	model.7.blocks.0.branch2b.conv.weight	True
model.7.blocks.0.branch2b.norm.weight	model.7.blocks.0.branch2b.norm.weight	True
model.7.blocks.0.branch2b.norm.bias	model.7.blocks.0.branch2b.norm.bias	True
model.7.blocks.0.branch2b.norm.running_mean	model.7.blocks.0.branch2b.norm.running_mean	True
model.7.blocks.0.branch2b.norm.running_var	model.7.blocks.0.branch2b.norm.running_var	True
model.7.blocks.0.branch2b.norm.num_batches_tracked	model.7.blocks.0.branch2b.norm.num_batches_tracked	True
model.7.blocks.1.branch2a.conv.weight	model.7.blocks.1.branch2a.conv.weight	True
model.7.blocks.1.branch2a.norm.weight	model.7.blocks.1.branch2a.norm.weight	True
model.7.blocks.1.branch2a.norm.bias	model.7.blocks.1.branch2a.norm.bias	True
model.7.blocks.1.branch2a.norm.running_mean	model.7.blocks.1.branch2a.norm.running_mean	True
model.7.blocks.1.branch2a.norm.running_var	model.7.blocks.1.branch2a.norm.running_var	True
model.7.blocks.1.branch2a.norm.num_batches_tracked	model.7.blocks.1.branch2a.norm.num_batches_tracked	True
model.7.blocks.1.branch2b.conv.weight	model.7.blocks.1.branch2b.conv.weight	True
model.7.blocks.1.branch2b.norm.weight	model.7.blocks.1.branch2b.norm.weight	True
model.7.blocks.1.branch2b.norm.bias	model.7.blocks.1.branch2b.norm.bias	True
model.7.blocks.1.branch2b.norm.running_mean	model.7.blocks.1.branch2b.norm.running_mean	True
model.7.blocks.1.branch2b.norm.running_var	model.7.blocks.1.branch2b.norm.running_var	True
model.7.blocks.1.branch2b.norm.num_batches_tracked	model.7.blocks.1.branch2b.norm.num_batches_tracked	True
model.8.conv.weight	model.8.conv.weight	True
model.8.bn.weight	model.8.bn.weight	True
model.8.bn.bias	model.8.bn.bias	True
model.8.bn.running_mean	model.8.bn.running_mean	True
model.8.bn.running_var	model.8.bn.running_var	True
model.8.bn.num_batches_tracked	model.8.bn.num_batches_tracked	True
model.9.ma.in_proj_weight	model.9.ma.in_proj_weight	True
model.9.ma.in_proj_bias	model.9.ma.in_proj_bias	True
model.9.ma.out_proj.weight	model.9.ma.out_proj.weight	True
model.9.ma.out_proj.bias	model.9.ma.out_proj.bias	True
model.9.fc1.weight	model.9.fc1.weight	True
model.9.fc1.bias	model.9.fc1.bias	True
model.9.fc2.weight	model.9.fc2.weight	True
model.9.fc2.bias	model.9.fc2.bias	True
model.9.norm1.weight	model.9.norm1.weight	True
model.9.norm1.bias	model.9.norm1.bias	True
model.9.norm2.weight	model.9.norm2.weight	True
model.9.norm2.bias	model.9.norm2.bias	True
model.10.conv.weight	model.10.conv.weight	True
model.10.bn.weight	model.10.bn.weight	True
model.10.bn.bias	model.10.bn.bias	True
model.10.bn.running_mean	model.10.bn.running_mean	True
model.10.bn.running_var	model.10.bn.running_var	True
model.10.bn.num_batches_tracked	model.10.bn.num_batches_tracked	True
model.12.conv.weight	model.12.conv.weight	True
model.12.bn.weight	model.12.bn.weight	True
