epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,13370,0.49375,0.56068,0.20902,0.74055,0.73855,0.78164,0.41578,0.51991,0.55489,0.23046,0.000298877,0.000298877,0.000298877
90,13515.8,0.49237,0.5565,0.20848,0.74922,0.74572,0.78903,0.42435,0.51455,0.5488,0.22891,0.000295052,0.000295052,0.000295052
91,13666.5,0.49022,0.55806,0.20767,0.76358,0.74303,0.79053,0.42516,0.51381,0.54878,0.2307,0.000291218,0.000291218,0.000291218
92,13812.7,0.49097,0.55746,0.21033,0.76316,0.74704,0.79545,0.42613,0.51991,0.54173,0.23281,0.000287373,0.000287373,0.000287373
93,13960.6,0.48655,0.55752,0.2054,0.75934,0.75513,0.79747,0.42877,0.51008,0.54434,0.22708,0.00028352,0.00028352,0.00028352
94,14109.3,0.48996,0.55399,0.2066,0.75943,0.75389,0.79739,0.42895,0.51176,0.54585,0.22842,0.000279659,0.000279659,0.000279659
95,14263.7,0.48841,0.55327,0.20609,0.76506,0.74829,0.8004,0.42881,0.51298,0.54564,0.22653,0.000275792,0.000275792,0.000275792
96,14412.2,0.48902,0.55287,0.20672,0.7706,0.75202,0.80585,0.43609,0.50882,0.54096,0.22429,0.000271919,0.000271919,0.000271919
97,14560.2,0.47997,0.54725,0.20024,0.76891,0.75802,0.80615,0.43829,0.50948,0.5367,0.22862,0.000268041,0.000268041,0.000268041
98,14704.8,0.47598,0.54592,0.19939,0.76854,0.76337,0.80934,0.43798,0.51074,0.53535,0.22752,0.000264159,0.000264159,0.000264159
99,14852.4,0.47879,0.54382,0.2038,0.77758,0.76114,0.81249,0.43748,0.5144,0.53198,0.22846,0.000260274,0.000260274,0.000260274
100,14995,0.48134,0.54066,0.20445,0.77799,0.76402,0.81458,0.44013,0.51393,0.53042,0.22793,0.000256388,0.000256388,0.000256388
101,15148.3,0.47931,0.54405,0.20094,0.77953,0.76752,0.8186,0.44664,0.50878,0.52729,0.22681,0.0002525,0.0002525,0.0002525
102,15297.9,0.47872,0.53951,0.20146,0.78182,0.77471,0.82226,0.45149,0.50477,0.52377,0.22579,0.000248612,0.000248612,0.000248612
103,15451.8,0.47354,0.53653,0.19755,0.78647,0.77664,0.82559,0.45483,0.50254,0.52207,0.22214,0.000244726,0.000244726,0.000244726
104,15604.4,0.47416,0.53669,0.19753,0.78274,0.77562,0.82379,0.45523,0.50379,0.52068,0.22299,0.000240841,0.000240841,0.000240841
105,15753.3,0.47016,0.53386,0.1974,0.79212,0.77455,0.82707,0.45572,0.50462,0.51877,0.22105,0.000236959,0.000236959,0.000236959
106,15914.5,0.47302,0.5336,0.20016,0.79064,0.7845,0.83076,0.45946,0.50207,0.51648,0.22059,0.000233081,0.000233081,0.000233081
107,16090,0.47459,0.53468,0.19944,0.79595,0.78045,0.83373,0.46139,0.49854,0.51842,0.21923,0.000229208,0.000229208,0.000229208
108,16265.6,0.47144,0.53351,0.19787,0.79921,0.77889,0.83349,0.46248,0.49843,0.51674,0.22065,0.000225341,0.000225341,0.000225341
109,16435.6,0.47119,0.53143,0.1965,0.79612,0.78036,0.834,0.46086,0.50279,0.51473,0.22116,0.00022148,0.00022148,0.00022148
110,16596,0.47029,0.52812,0.19756,0.79511,0.78277,0.83593,0.4619,0.50518,0.51171,0.22342,0.000217627,0.000217627,0.000217627
111,16755.7,0.46623,0.52652,0.19439,0.79733,0.78559,0.83715,0.46335,0.50435,0.51023,0.22233,0.000213782,0.000213782,0.000213782
112,16923.4,0.46728,0.52776,0.19569,0.80425,0.78707,0.84114,0.46615,0.50417,0.50793,0.22165,0.000209948,0.000209948,0.000209948
113,17092.7,0.46636,0.52651,0.19354,0.80799,0.78879,0.84344,0.4678,0.50355,0.5069,0.2202,0.000206123,0.000206123,0.000206123
114,17257.3,0.46746,0.52486,0.19431,0.81055,0.7894,0.84546,0.47182,0.49933,0.50602,0.21796,0.00020231,0.00020231,0.00020231
115,17408.5,0.46397,0.527,0.19415,0.81271,0.78877,0.84632,0.47271,0.49869,0.50595,0.21747,0.00019851,0.00019851,0.00019851
116,17517.7,0.46032,0.52046,0.19241,0.81587,0.79151,0.84814,0.47618,0.49697,0.50381,0.2177,0.000194722,0.000194722,0.000194722
117,17628.6,0.46594,0.52201,0.1945,0.81795,0.78976,0.84921,0.4756,0.49726,0.50361,0.21711,0.000190949,0.000190949,0.000190949
118,17738.5,0.45881,0.52196,0.19164,0.81981,0.79213,0.85163,0.47567,0.49908,0.50295,0.21705,0.000187191,0.000187191,0.000187191
